sourceRun,seed,blocks,nativeP20,nativeUpper,nativeHigh,nativeP19Score,nativeP19Extreme,nativeFullY112,nativeY96Largest,nativeCoarse
670M,-3571951103663561844,38546,15.0,72.0,18.0,5.995787971,False,4.0,6.0,340.0
670M,516497206172193114,38401,21.0,87.0,24.0,6.308227746,False,6.0,11.0,382.0
670M,-5823886603514700409,38054,9.0,44.0,22.0,9.561228402,False,11.0,5.0,297.0
670M,-7411368476782966808,37925,2.0,12.0,10.0,5.666519545,False,0.0,9.0,329.0
670M,1027305421164479545,37881,13.0,61.0,26.0,11.078418996,False,5.0,13.0,373.0
31.9M-independent,6090365006687688611,37880,35.0,149.0,27.0,6.7571285,False,7.0,6.0,310.0
670M,1241175430697688457,37877,15.0,65.0,13.0,5.35994462,False,5.0,7.0,301.0
670M,-2332582037179765415,37762,26.0,116.0,20.0,5.788393671,False,7.0,8.0,324.0
670M,3633534219179589320,37703,2.0,12.0,10.0,7.469902033,False,5.0,8.0,357.0
670M,7156351399172136777,37648,14.0,60.0,32.0,11.073874023,False,8.0,12.0,355.0
670M,4632781367105730626,37584,37.0,140.0,27.0,6.75097426,False,17.0,12.0,330.0
670M,2515282253836788259,37546,3.0,17.0,13.0,9.791659065,False,4.0,12.0,363.0
670M,5374848975428789137,37345,4.0,11.0,10.0,6.476671009,False,0.0,7.0,359.0
670M,-3233933290415340381,37278,2.0,8.0,8.0,6.536736964,False,2.0,6.0,342.0
670M,-8419879005821809062,37219,16.0,84.0,14.0,5.062908642,False,2.0,6.0,325.0
670M,2697011090849694473,37026,7.0,34.0,18.0,8.077803621,False,5.0,13.0,380.0
670M,395941093788542094,37016,11.0,43.0,12.0,5.404749318,False,0.0,2.0,361.0
670M,2906100909368876326,36950,16.0,67.0,25.0,7.580088507,False,4.0,8.0,341.0
670M,1310565238078469885,36924,23.0,98.0,24.0,7.963140637,False,3.0,11.0,311.0
670M,4804007564265015284,36899,6.0,30.0,11.0,6.061162629,False,0.0,7.0,396.0
670M,-4739887999625014537,36845,2.0,8.0,8.0,5.533558825,False,0.0,6.0,327.0
670M,-4525774985503212245,36709,14.0,55.0,22.0,7.638313887,True,6.0,16.0,391.0
670M,-1181812987522208991,36592,8.0,34.0,22.0,15.507389334,False,6.0,7.0,331.0
670M,5640604839639633549,36564,7.0,27.0,10.0,4.877941326,False,1.0,8.0,335.0
670M,3789025642203870155,36539,9.0,31.0,18.0,9.034237665,False,0.0,6.0,326.0
670M,-5103425492127819766,36527,6.0,17.0,13.0,9.822438427,False,2.0,8.0,352.0
670M,2047607960706604627,36434,8.0,37.0,17.0,7.839063758,False,5.0,5.0,310.0
670M,-3155544754408440133,36384,9.0,34.0,16.0,7.863906668,False,6.0,10.0,339.0
670M,-8189048967964606490,36345,8.0,31.0,17.0,8.96107922,False,4.0,6.0,325.0
